hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
ahm001,ChIJkdroGGObXjkRP5XMYSS0S4Y,"Taj Skyline, Ahmedabad","Taj Skyline Ahmedabad, Sankalp Square III, Opp. Saket 3, Sindhubhavan Road, nr. Neelkanth Green, PRL Colony, Thaltej, Shilaj, Ahmedabad, Gujarat 380059, India",23.0441549,72.48227729999999,4.6,8502,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=9677026292688262463&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e9b6318e8da91:0x864bb42461cc953f!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e9b6318e8da91:0x864bb42461cc953f!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e9b6318e8da91:0x864bb42461cc953f!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e9b6318e8da91:0x864bb42461cc953f!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/taj-skyline-ahmedabad?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Skyline-Ahmedabad,079 4040 0000,+91 79 4040 0000,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Airy quarters in an upscale hotel featuring a sophisticated restaurant, an indoor pool & a gym.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,1
ahm002,ChIJ4asBKMmEXjkRnm2CR4S4hx4,"ITC Narmada, a Luxury Collection Hotel, Ahmedabad","Survey # 104 A, Judges Bunglow Rd, I I M, Vastrapur, Ahmedabad, Gujarat 380015, India",23.0296101,72.530075,4.7,5971,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=2199929821268700574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e84c92801abe1:0x1e87b88447826d9e!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e84c92801abe1:0x1e87b88447826d9e!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e84c92801abe1:0x1e87b88447826d9e!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e84c92801abe1:0x1e87b88447826d9e!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/amdlc-itc-narmada-a-luxury-collection-hotel-ahmedabad/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,079 6966 4000,+91 79 6966 4000,,"[""hotel"", ""wedding_venue"", ""event_venue"", ""lodging"", ""point_of_interest"", ""establishment""]","Sophisticated hotel featuring a spa & 5 dining options, plus a fitness centre",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,30,25,12,10,0,100,0,80,55,27,0,1,3,2,0,1,0,4,8
ahm003,ChIJ6_vIIPuEXjkRvDA5ysx4TnU,"Radisson Blu Hotel, Ahmedabad","Near Panchvati Cross Roads, Chimanlal Girdharlal Rd, Ambawadi, Ahmedabad, Gujarat 380006, India",23.0235616,72.5570168,4.5,11735,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=8452826371582406844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e84fb20c8fbeb:0x754e78ccca3930bc!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e84fb20c8fbeb:0x754e78ccca3930bc!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e84fb20c8fbeb:0x754e78ccca3930bc!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e84fb20c8fbeb:0x754e78ccca3930bc!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-blu-ahmedabad?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INGJAMD2,079 4050 1234,+91 79 4050 1234,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Contemporary hotel with free Wi-Fi, parking & breakfast, plus 2 eateries, a day spa & a gym.",,,,,,,,,,False,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,36,25,52,0,0,100,0,20,100,28,0,0,13,2,0,5,0,1,22
ahm004,ChIJocMGCA-FXjkRkovkU_6Coa4,"Welcomhotel By ITC Hotels, Ashram Road, Ahmedabad","15, Ashram Road, Dandi Kuch Cir, Old Wadaj, Ahmedabad, Gujarat 380013, India",23.0526254,72.5716833,4.6,3399,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=12583482862690667410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e850f0806c3a1:0xaea182fe53e48b92!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e850f0806c3a1:0xaea182fe53e48b92!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e850f0806c3a1:0xaea182fe53e48b92!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e850f0806c3a1:0xaea182fe53e48b92!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.itchotels.com/in/en/welcomhotelahmedabad-ahmedabad?utm_source=google&utm_medium=business+listing&utm_campaign=Welcomhotel+By+ITC+Hotels,079 4026 8000,+91 79 4026 8000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Relaxed quarters in a sleek hotel with a coffee shop, a restaurant & a gym, plus mixology classes.",,,,,,,,,,True,,,,,,True,,,,True,,True,True,,,,,,,,,False,,20,0,0,0,0,100,0,20,100,20,0,0,0,0,0,3,0,1,30
ahm005,ChIJ18RQqPiEXjkR6TNkoduQjn8,Four Points by Sheraton Ahmedabad,"opposite Gujarat College, Ellisbridge, Ahmedabad, Gujarat 380006, India",23.0224261,72.5676799,4.3,4508,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=9191443162489697257&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e84f8a850c4d7:0x7f8e90dba16433e9!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e84f8a850c4d7:0x7f8e90dba16433e9!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e84f8a850c4d7:0x7f8e90dba16433e9!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e84f8a850c4d7:0x7f8e90dba16433e9!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/amdfp-four-points-ahmedabad/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,079 4900 8888,+91 79 4900 8888,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Upmarket hotel offering informal dining & city views, plus a 24-hour gym & a business centre.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,22,0,12,0,20,100,0,20,100,27,0,0,3,0,1,8,0,1,29
ahm006,ChIJ_SQ6ZzqbXjkRNyHDMo8xKIs,Novotel Ahmedabad,"Iscon Cross Roads, Sarkhej - Gandhinagar Hwy, next to Wide Angle Cinema, Ramdev Nagar, Ahmedabad, Gujarat 380015, India",23.0239972,72.5072893,4.6,20109,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=10027319061442142519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e9b3a673a24fd:0x8b28318f32c32137!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e9b3a673a24fd:0x8b28318f32c32137!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e9b3a673a24fd:0x8b28318f32c32137!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e9b3a673a24fd:0x8b28318f32c32137!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8173&merchantid=seo-maps-IN-8173&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,079 4060 6060,+91 79 4060 6060,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Contemporary hotel offering a 24-hour restaurant & a bar, plus a gym & an outdoor rooftop pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,22,12,28,10,40,60,0,40,31,3,0,1,7,1,2,2,0,2,1
ahm007,ChIJkVoVDdubXjkRRLiGO6_BlXM,DoubleTree by Hilton Ahmedabad,"Ambli Rd, Vikram Nagar, Ahmedabad, Gujarat 380058, India",23.0282074,72.50164629999999,4.4,5302,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=8328776044253722692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e9bdb0d155a91:0x7395c1af3b86b844!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e9bdb0d155a91:0x7395c1af3b86b844!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e9bdb0d155a91:0x7395c1af3b86b844!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e9bdb0d155a91:0x7395c1af3b86b844!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hilton.com/en/hotels/amddidi-doubletree-ahmedabad/?SEO_id=GMB-APAC-DI-AMDDIDI,079 4105 0000,+91 79 4105 0000,,"[""hotel"", ""banquet_hall"", ""event_venue"", ""lodging"", ""spa"", ""point_of_interest"", ""establishment""]","Polished quarters in an upscale hotel offering a restaurant, a spa & a rooftop outdoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,11,12,36,10,20,0,0,40,23,0,0,1,9,1,1,2,0,2,0
ahm008,ChIJI18JomGEXjkR6spwQiQrJ8o,Hyatt Regency Ahmedabad,"17/A, Ashram Rd, Usmanpura, Ahmedabad, Gujarat 380014, India",23.0436557,72.5703442,4.4,13811,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=14566658954486663914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e8461a2095f23:0xca272b244270caea!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e8461a2095f23:0xca272b244270caea!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e8461a2095f23:0xca272b244270caea!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e8461a2095f23:0xca272b244270caea!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hyatt.com/hyatt-regency/en-US/amdhr-hyatt-regency-ahmedabad?src=corp_lclb_google_seo_amdhr&utm_source=google&utm_medium=organic&utm_campaign=lmr,079 6117 1234,+91 79 6117 1234,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Polished hotel offering a spa, an outdoor pool & 3 restaurants, plus a cafe, a gym & free Wi-Fi.",,,,,,,,,,,,,,,,,True,,,,,True,True,True,True,,,,,,,False,,25,0,12,20,0,100,0,0,100,40,0,2,3,0,0,3,0,0,33
ahm009,ChIJewSoyIqEXjkRy54T8s26H7Q,Hyatt Ahmedabad,"next to Alpha One Mall, Vastrapur, Ahmedabad, Gujarat 380015, India",23.039463599999998,72.5305022,4.5,9535,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=12979298044797492939&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e848ac8a8047b:0xb41fbacdf2139ecb!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e848ac8a8047b:0xb41fbacdf2139ecb!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e848ac8a8047b:0xb41fbacdf2139ecb!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e848ac8a8047b:0xb41fbacdf2139ecb!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hyatt.com/en-US/hotel/india/hyatt-ahmedabad/amdhy?src=corp_lclb_google_seo_amdhy&utm_source=google&utm_medium=organic&utm_campaign=lmr,079 6160 1234,+91 79 6160 1234,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Upscale hotel with 2 restaurants & a patisserie, as well as a day spa, lake views & an outdoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,,,,,,,False,,36,37,28,10,20,100,0,40,67,29,0,1,7,3,1,1,0,2,11
ahm010,ChIJYwe2SsKFXjkRpPVJNCXGjNw,Hotel Elysian Residency,"Hotel Elysian Residency, Opp Reliance Mall Near Namaste Circle(BAPS Circle, Road, Jain Colony, Shahibag, Ahmedabad, Gujarat 380004, India",23.0441447,72.58965830000001,4.5,2550,,OPERATIONAL,Ahmedabad,https://maps.google.com/?cid=15892295048176989604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x395e85c24ab60763:0xdc8cc6253449f5a4!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x395e85c24ab60763:0xdc8cc6253449f5a4!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e85c24ab60763:0xdc8cc6253449f5a4!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x395e85c24ab60763:0xdc8cc6253449f5a4!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.elysianresidency.com/,091434 29429,+91 91434 29429,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""banquet_hall"", ""event_venue"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",Warm rooms in a casual hotel featuring a sleek restaurant that serves international cuisine.,,,,,,,,,,True,,,,,,,,True,,,,True,True,,,,,,,,,False,,24,12,0,10,0,100,0,0,100,11,0,1,0,1,0,3,0,0,35
