hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
jai001,ChIJAQAAAJS2bTkRWUWQ2VmlhSA,Hotel Rajasthan Palace,"Rajasthan Palace Hotel, 3, Peelwa Garden, Moti Doongari Road, Anand Puri, Bees Dukan, Adarsh Nagar, Jaipur, Rajasthan 302004, India",26.900878799999997,75.82113609999999,4.7,4489,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=2343460986436994393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db69400000001:0x2085a559d9904559!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db69400000001:0x2085a559d9904559!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db69400000001:0x2085a559d9904559!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db69400000001:0x2085a559d9904559!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.rajasthanpalacehotel.com/,070166 62608,+91 70166 62608,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""garden"", ""swimming_pool"", ""park"", ""sports_activity_location"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",Warm rooms in a casual hotel offering a restaurant & a rooftop terrace with a pool.,,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,,,,False,,24,0,16,10,0,100,0,40,50,51,0,1,4,0,0,10,0,2,4
jai002,ChIJX2_Rbgu0bTkR-wPc1ueFLpA,"Jai Mahal Palace, Jaipur","Gound Floor, Jacob Rd, near Bharat Petroleum, Civil Lines, Jaipur, Rajasthan 302006, India",26.912171999999998,75.785178,4.6,7501,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=10389388621178995707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db40b6ed16f5f:0x902e85e7d6dc03fb!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db40b6ed16f5f:0x902e85e7d6dc03fb!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db40b6ed16f5f:0x902e85e7d6dc03fb!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db40b6ed16f5f:0x902e85e7d6dc03fb!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/jai-mahal-palace-jaipur?utm_source=Google&utm_medium=Local&utm_campaign=Jai-Mahal-Palace-Jaipur,0141 660 1111,+91 141 660 1111,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""resort_hotel"", ""extended_stay_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Upscale hotel in a former palace offering plush rooms & an outdoor pool, plus fine dining options.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,,,,,,,False,,31,0,36,10,20,100,12,40,100,10,1,1,9,0,1,13,0,2,28
jai003,ChIJ-b0CTxO0bTkRDLjMSGGz5_Y,Ginger Jaipur,"Mangalam GeejGarh House, Hawa Sadak, Sudarshanpura, Civil Lines, Jaipur, Rajasthan 302006, India",26.9014329,75.78478419999999,4.1,3277,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=17791386083365009420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db4134f02bdf9:0xf6e7b36148ccb80c!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db4134f02bdf9:0xf6e7b36148ccb80c!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db4134f02bdf9:0xf6e7b36148ccb80c!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db4134f02bdf9:0xf6e7b36148ccb80c!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.gingerhotels.com/hotels/ginger-jaipur?utm_source=google&utm_medium=hotelgmb&utm_campaign=jaipur_gmb,0141 665 4000,+91 141 665 4000,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""extended_stay_hotel"", ""real_estate_agency"", ""lodging"", ""point_of_interest"", ""travel_agency"", ""establishment""]","Unfussy rooms in a modest hotel featuring a fitness room & a rooftop restaurant, plus free Wi-Fi.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,34,0,32,40,0,100,12,20,100,18,1,4,8,0,0,11,0,1,26
jai004,ChIJQfQ-_bK2bTkRZjSwp4vttPk,Jaipur Hotel New - A heritage hotel,"7, Chaura Rasta Rd, opposite GOLCHA CINEMA, Nehru Bazar, Film Colony, Modikhana, Jaipur, Rajasthan 302003, India",26.9173908,75.8204605,4.3,781,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=17993267595321554022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db6b2fd3ef441:0xf9b4ed8ba7b03466!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db6b2fd3ef441:0xf9b4ed8ba7b03466!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db6b2fd3ef441:0xf9b4ed8ba7b03466!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db6b2fd3ef441:0xf9b4ed8ba7b03466!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,098286 76825,+91 98286 76825,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Bright rooms in a down-to-earth budget hotel featuring a restaurant & a terrace.,,,,,,,,,,True,,,,,,,,,,,,True,True,,True,True,,,,,,False,,51,0,100,60,20,100,12,40,100,24,1,6,36,0,1,9,0,2,16
jai005,ChIJrayiYVizbTkRNxKLOs7XAso,Hotel Maru Casa Jaipur | Budget 3 Star Hotels in Jaipur City Centre,"Sansar Chandra Rd, near Polo Victory, behind Man Singh Hotel, Sindhi Camp, Jaipur, Rajasthan 302001, India",26.9195009,75.80036799999999,4.3,434,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=14556434226360291895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db35861a2acad:0xca02d7ce3a8b1237!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db35861a2acad:0xca02d7ce3a8b1237!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db35861a2acad:0xca02d7ce3a8b1237!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db35861a2acad:0xca02d7ce3a8b1237!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.marucasa.com/,088290 80033,+91 88290 80033,,"[""hotel"", ""spa"", ""lodging"", ""point_of_interest"", ""establishment""]",,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,False,,87,50,100,100,20,100,100,60,100,17,11,26,48,4,1,13,0,3,27
jai006,ChIJV2013gm0bTkRRCUYohwps7I,"HOTEL ABHINEET PALACE, FAMILY HOTEL NEAR JAIPUR RAILWAY STATION","Fateh Singh Market, Railway station, B-9, behind Kalpana Bus Agency, opp. Exit gate 3, Gopalbari, Jaipur, Rajasthan 302006, India",26.918171299999997,75.7910438,4.3,1458,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=12876680962537694532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db409de356d57:0xb2b3291ca2182544!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db409de356d57:0xb2b3291ca2182544!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db409de356d57:0xb2b3291ca2182544!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db409de356d57:0xb2b3291ca2182544!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.hotelabhineetpalace.com/,094140 42755,+91 94140 42755,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""extended_stay_hotel"", ""vegetarian_restaurant"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",Functional budget hotel offering an unfussy restaurant & a free train station shuttle.,,,,,,,,,,True,,,,,,,,,,,,False,,False,,,,,,,,False,,87,50,100,100,20,100,100,60,100,17,9,18,67,4,1,15,0,3,27
jai007,ChIJ5WlPPwm0bTkRHRLayfAgpis,Luxsugero Jaipur,"WQ7R+F99, Ajmer Rd, Gopalbari, Jaipur, Rajasthan 302019, India",26.913666,75.790987,4.7,13,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=3145237608315621917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db4093f4f69e5:0x2ba620f0c9da121d!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db4093f4f69e5:0x2ba620f0c9da121d!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db4093f4f69e5:0x2ba620f0c9da121d!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db4093f4f69e5:0x2ba620f0c9da121d!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.luxsugerostudios.com/jaipur,093111 11534,+91 93111 11534,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,,65,12,100,100,20,100,37,60,100,17,3,12,47,1,1,14,0,3,27
jai008,ChIJpbW77wy0bTkR88adhFeXxD4,"Hotel Shahar Palace - Best Budget Hotels in Civil Lines, Jaipur","Barwara House Colony, Ajmer Rd, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India",26.9102391,75.78577070000001,3.7,238,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=4522906327929702131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db40cefbbb5a5:0x3ec49757849dc6f3!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db40cefbbb5a5:0x3ec49757849dc6f3!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db40cefbbb5a5:0x3ec49757849dc6f3!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db40cefbbb5a5:0x3ec49757849dc6f3!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.shaharpalace.com/,0141 222 1861,+91 141 222 1861,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""guest_house"", ""bed_and_breakfast"", ""private_guest_room"", ""lodging"", ""point_of_interest"", ""establishment""]","Unassuming rooms & studios in a stately property, plus a shared kitchen & a garden with seating.",,,,,,,,,,False,,,,,,,,,,,,,True,,,,,,,,,False,,32,0,36,20,20,100,12,40,100,13,1,2,9,0,1,13,0,2,28
jai009,ChIJmdOcate3bTkRYLfD_DoFOtA,Rosé Amer,"7, Sawai Pratapsingh Rd, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India",26.9087715,75.7887846,4.5,184,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=15004310859445155680&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db7d76a9cd399:0xd03a053afcc3b760!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db7d76a9cd399:0xd03a053afcc3b760!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db7d76a9cd399:0xd03a053afcc3b760!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db7d76a9cd399:0xd03a053afcc3b760!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://roseamer.in/,090575 31001,+91 90575 31001,,"[""hotel"", ""resort_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Elegant rooms in an upmarket guesthouse featuring a garden & a pool, plus cricket & croquet pitches.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,45,0,92,30,20,100,12,40,100,16,1,3,23,0,1,14,0,2,28
jai010,ChIJP8-cJPi0bTkRqivQpmXCs6g,Renest Jaipur,"Gopalpura Bypass Rd, near Ganga Jamuna Petrol Pump, New Aatish Market, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302020, India",26.8801363,75.7585537,4.1,6379,,OPERATIONAL,Jaipur,https://maps.google.com/?cid=12156273561049246634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x396db4f8249ccf3f:0xa8b3c265a6d02baa!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x396db4f8249ccf3f:0xa8b3c265a6d02baa!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db4f8249ccf3f:0xa8b3c265a6d02baa!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x396db4f8249ccf3f:0xa8b3c265a6d02baa!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.renesthotels.com/renest-jaipur/,0141 664 4000,+91 141 664 4000,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Streamlined suites in an upmarket hotel offering a restaurant, a spa & a rooftop pool.",True,True,True,True,,True,True,True,,True,,True,,,,True,,True,,True,True,True,True,,True,True,,,,,,False,,20,0,0,0,0,100,0,20,59,15,0,0,0,0,0,6,0,1,12
